Latin,"Translation 1","Translation 2","Translation 3","Translation 4","Translation 5","Translation 6","Translation 7","Translation 8","Translation 9","Translation 10","Translation 11"
"quid Rōmānī lēgērunt?","What did the Romans read?","What have the Romans read?","The Romans read what?","The Romans have read what?","Why did the Romans read?","Why have the Romans read?","What did Romans read?","What have Romans read?",,,
"Rōmānī nihil lēgērunt.","The Romans read nothing.","The Romans have read nothing.","Romans read nothing.","Romans have read nothing.",,,,,,,
"quid scrīpsimus?","What have we written?","What did we write?","We wrote what?","We have written what?","Why did we write?","Why have we written?",,,,,
"nihil scrīpsimus.","We wrote nothing.","We have written nothing.",,,,,,,,,
"Mārcus dīxit: “nihil agō.""","Marcus said: ""I am doing nothing.""","Marcus said: ""I do nothing.""","Marcus has said: ""I am doing nothing.""","Marcus has said: ""I do nothing.""","Marcus spoke: ""I am doing nothing.""","Marcus spoke: ""I do nothing.""","Marcus has spoken: ""I am doing nothing.""","Marcus has spoken: ""I do nothing.""",,,
"Rōmānī nōs nōn vīcērunt.","The Romans did not conquer us.","The Romans have not conquered us.","The Romans did not defeat us.","The Romans have not defeated us.","Romans did not conquer us.","Romans have not conquered us.","Romans did not defeat us.","Romans have not defeated us.",,,
"Caesar nōs dūxit.","Caesar led us.","Caesar has led us. ",,,,,,,,,
"quid discis?","What do you learn?","What are you learning?","Why do you learn?","Why are you learning?","You are learning what?","You learn what?",,,,,
"nihil discō.","I learn nothing.","I am learning nothing. ","I do learn nothing. ",,,,,,,,
"nōlī mē vincere!","Do not conquer me!","Do not defeat me!","Don't conquer me!","Don't defeat me!",,,,,,,
"bene dīcere didicī.","I learned to speak well. ","I have learned to speak well.","I did learn to speak well.","I learned to speak satisfactorily. ","I have learned to speak satisfactorily.","I did learn to speak satisfactorily. ",,,,,
"nihil dīcite!","Say nothing!","Speak nothing!",,,,,,,,,
"nōlīte dīcere!","Do not say!","Do not speak!","Don't say!","Don't speak!",,,,,,,
"quid scrīpsistī?","What did you write?","Why did you write?","What have you written?","Why have you written?","You wrote what?","You have written what?",,,,,
"nihil scrīpsī.","I wrote nothing.","I have written nothing.",,,,,,,,,
"quō Mārcus it?","Where does Marcus go?","Where is Marcus going?","Marcus goes where?","Marcus is going where?","To where does Marcus go?","To where is Marcus going?","Marcus goes to where?","Marcus is going to where?",,,
"Mārcus Rōmam it.","Marcus goes to Rome.","Marcus is going to Rome.","Marcus does go to Rome.","To Rome, Marcus goes.","To Rome, Marcus is going.","To Rome, Marcus does go. ",,,,,
"quō Mārcus et Fannia eunt?","Where do Marcus and Fannia go?","Where are Marcus and Fannia going?","Marcus and Fannia go where?","Marcus and Fannia are going where?","To where do Marcus and Fannia go?","To where are Marcus and Fannia going?","Marcus and Fannia go to where?","Marcus and Fannia are going to where?",,,
"Rōmam Mārcus it; Fannia nōn Rōmam it, sed domum it.","Marcus goes to Rome; Fannia does not go to Rome, but she goes home.","Marcus is going to Rome; Fannia is not going to Rome, but she is going home.","Marcus does go to Rome; Fannia does not go to Rome, but she does go home.","Marcus goes to Rome; Fannia does not go to Rome, but she goes homewards.","Marcus is going to Rome; Fannia is not going to Rome, but she is going homewards.","Marcus does go to Rome; Fannia does not go to Rome, but she does go homewards.","Marcus goes to Rome; Fannia does not go to Rome, but she goes to her home.","Marcus is going to Rome; Fannia is not going to Rome, but she is going to her home.","Marcus does go to Rome; Fannia does not go to Rome, but she does go to her home.","Fannia does not go to Rome, but she goes home; Marcus goes to Rome.",
Dūcimus.,"We lead.","We are leading.",,,,,,,,,
"vīxit, dum vīxit, bene.","He lived well, while he lived.","She lived well, while she lived.","He has lived well, while he has lived.","She has lived well, while she has lived. ","He lived well, while he was alive.","She lived well, while she was alive.","He lived satisfactorily, while he lived.","She lived satisfactorily, while she lived.","He lived satisfactorily, while he was alive.","She lived satisfactorily, while she was alive.",
"dum vīvimus, discimus.","While we live, we learn.","We learn, while we live.","While we are living, we are learning.","We are learning, while we are living. ","While we are alive, we learn.","We learn, while we are alive.","While we are alive, we are learning.","We are learning, while we are alive. ",,,
"Sōcratēs dīxit: sī nihil discis, dēdiscis.","Socrates said: If you learn nothing, you forget.","Socrates said: You forget, if you learn nothing.","Socrates said: If you learn nothing, you unlearn.","Socrates said: If you are learning nothing, you are forgetting.","Socrates said: If you are learning nothing, you are unlearning.","Socrates said: If you do learn nothing, you do forget.","Socrates said: If you do learn nothing, you do unlearn. ","Socrates has said: If you learn nothing, you forget.","Socrates has said: If you learn nothing, you unlearn.","Socrates spoke: If you learn nothing, you unlearn.",
"disce aut discēde!","Learn or leave!","Learn or withdraw!",,,,,,,,,
"antequam dīcis, disce!","Before you speak, learn!","Learn before you speak!","Before you say, learn!","Learn before you say!",,,,,,,
"nihil discit quī cito discit.","He who learns quickly learns nothing.","She who learns quickly learns nothing.","He who learns nothing learns quickly.","She who learns nothing learns quickly.","He who is learning quickly is learning nothing.","She who is learning quickly is learning nothing.","He who does learn quickly learns nothing.","She who does learn quickly learns nothing.",,,
"nōlī mē tangere!","Do not touch me!","Don't touch me!","Touch me not!",,,,,,,,
"nōlī timēre.","Do not fear.","Don't fear.","Fear not.","Do not be afraid.","Don't be afraid.",,,,,,
"age quod agis!","Do what you do!","Lead what you lead!","Do that which you do!","Lead that which you lead!","Do what you lead!","Do that which you lead!","Lead what you do!","Lead that which you do!","Do what you act!","Do that which you act!",
"semper meum negōtium agō.","I always lead my own business.","I lead my own business always.","I always do my own business.","I do my own business always.","I always drive my own business.","I drive my own business always.","I always conduct my own business. ","I conduct my own business always. ","I am always doing my own business.","I am always leading my own business. ",
